price,source,person,organisation,
49,twitter,,,
52.5,twitter,Iain Staffell,Electric Insights/Imperial,
43.1,twitter,,,
50,twitter,,,
40,twitter,,,
47.5,twitter,,,
44.4,twitter,,,
53,twitter,Simon Evans,Carbon Brief,
42.9,twitter,,,
45,twitter,,,
37,twitter,,,
36.99,twitter,,,
1.16,twitter,,,
46,twitter,,,
43,twitter,,,
40,twitter,,,
51,twitter,,,
50.5,twitter,,,
49.5,twitter,,,
46.5,twitter,,,
50.42,twitter,,,
55.5,twitter,Dave Jones,Sandbag,
43,twitter,,,
47.95,twitter,,,
48.5,twitter,,,
45,twitter,,,
53,aurora,Tom,,42
51,aurora,Dimitri,,
50.8,aurora,Asgeir,,
50,aurora,Donna,,
50,aurora,Ben,,
49.2,aurora,Sebastian,,
49,aurora,Oliver,,
48.5,aurora,Richard,,
47.9,aurora,Becca,,
47.3,aurora,Paul,,
47.25,aurora,Ayrton,,
47,aurora,Harry,,
46.2,aurora,Martin,,
45,aurora,Felix,,
43.2,aurora,Jordan,,
43,aurora,John F,,
42,aurora,Mateusz,,
42,aurora,Ana,,
